title,artist,link,copyright
Clear My Head,Ellis,https://drive.google.com/uc?export=download&id=176Kv_yA6Fy3wJYWgGRODnZBMO22wSw_U,"Song: Ellis - Clear My Head [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/ClearMyHead 
Watch: http://youtu.be/H81DzDMdCLI "
Lights,Jim Yosef,https://drive.google.com/uc?export=download&id=1wvv7hVXb-AqGJ0cLfdwQy8T3hhwZuadK,"Song: Jim Yosef - Lights [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/lights 
Watch: http://youtu.be/vb3ks4WllXA "
Red Line,Anne Yvette,https://drive.google.com/uc?export=download&id=1kTrOcoQcO1-9rLCM1nojTNsoXR_tXC7f,"Song: Anne Yvette - Red Line [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/RedLine 
Watch: http://youtu.be/VrDD2GSNs_I "
Tropic Love,Diviners feat. Contacreast,https://drive.google.com/uc?export=download&id=1nNSEQvpazuDP2iYi496ufNPHmjSRj0yk,"Song: Diviners feat. Contacreast - Tropic Love [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/tropiclove 
Watch: http://youtu.be/u6RJv7f__Mg "
Passion,Jim Yosef & Alex Skrindo,https://drive.google.com/uc?export=download&id=1zwgzdFwVam24N287NM27iUwbA1mbuK_B,"Song: Jim Yosef & Alex Skrindo - Passion [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/passion 
Watch: http://youtu.be/pxEKoZKpCew "
Firefly,Jim Yosef,https://drive.google.com/uc?export=download&id=1boK_vdJkUhQRXFKIqHxE-pnInWkBa9CH,"Song: Firefly
Music provided by NoCopyrightSounds
Free Download/Stream: https://ncs.io/jyfirefly 
Watch: https://youtu.be/x_OwcYTNbHs?si=KZe74Euso6ofM8d2 "
Reflections,Kasger,https://drive.google.com/uc?export=download&id=1sjbJBkVHwEBFOOECFu0171hXmdMi6Wl6,"Song: Kasger - Reflections [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/kreflections 
Watch: http://youtu.be/M4_ivwYfWFo "
Pill,Heuse & Zeus x Crona,https://drive.google.com/uc?export=download&id=1XkFVNHibUDJ5U5rx5YT8_CSlRjXtCoP6,"Song: Heuse & Zeus x Crona - Pill (feat. Emma Sameth) [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/pill 
Watch: http://youtu.be/CLiXUT3MS34 "
Make Me Move [Tobu Remix],Culture Code,https://drive.google.com/uc?export=download&id=1uwC_IQfRd2u7UuA_PW_1vvZlP7-NqNhp,"Song: Culture Code - Make Me Move (feat. Karra) [Tobu Remix] [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/TobuRemix 
Watch: http://youtu.be/MRwmxS1AL6E "
Mortals,"Warriyo, Laura Brehm",https://drive.google.com/uc?export=download&id=1iQYOH3eV8Ri97Ehzph62Mky86c_wZdbn,"Song: Warriyo - Mortals (feat. Laura Brehm) [NCS Release]
Music provided by NoCopyrightSounds
Free Download/Stream: http://ncs.io/mortals
Watch: http://youtu.be/yJg-Y5byMMw"
